	B73-1	B73-2	B73-3	DK105-1	DK105-4	DK105-6	PH207-3	PH207-4	PH207-5	F2-1	F2-2	F2-5
ENSRNA049465312	3.432431	0	0	0	0	0	2.843182	0	0	3.661338	3.471355	0
ENSRNA049465331	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465355	11.925274	22.575959	5.283699	4.310893	4.445051	11.36027	4.899851	11.248686	9.984841	11.100625	7.973861	3.518309
ENSRNA049465372	0	0	0	30.02274	15.579226	0	1.944392	0	7.548863	0	1.196488	0
ENSRNA049465399	10.463324	14.842084	39.348099	7.57829	41.4848	22.777136	19.361645	36.91898	44.393138	16.723063	16.689759	9.31441
ENSRNA049465410	147.050875	94.83361	185.524306	47.383758	71.249758	67.882944	121.861454	141.283336	112.781341	17.139533	41.356652	26.784099
ENSRNA049465428	0	0	0	2.383563	3.036298	0	0	0	0	0	0.926988	0
ENSRNA049465449	8.291298	17.286329	17.053001	5.670459	12.466197	7.31837	8.919354	15.844548	26.305389	3.573836	4.495563	9.887231
ENSRNA049465483	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465509	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465575	0	0	0	72.995912	416.321738	216.019605	0	0	0	0	0	2.199793
ENSRNA049465635	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465657	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465733	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465791	0	0	0	0	0	0	0	0	0	0	0	3.525764
ENSRNA049465819	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465834	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049465846	0	0	0	0	0	0.735887	0	0	0	0	0	0
ENSRNA049465879	2.356676	11.441084	0	0	38.357373	3.792411	0	19.31766	620.984453	0	51.714038	21.518556
ENSRNA049466048	0	0	3.991742	1.295516	6.427427	2.669882	0	0	0	3.202072	4.927969	0
ENSRNA049466083	0	26.507435	3.173152	3.944437	32.741739	3.623275	0	22.274475	0	4.243595	33.224791	52.449767
ENSRNA049466198	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466210	0	0	0	3.5145	3.40589	0	0	0	0	3.912012	0	11.436693
ENSRNA049466224	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466250	0	0	0	3.383015	0	0	0	0	2.906135	3.981837	0	0
ENSRNA049466270	2.68126	0	0	1.341034	0	0	0	0	0	0	0	0
ENSRNA049466281	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466300	3.847332	13.761708	3.185526	3.672343	10.376255	3.883973	3.256733	3.441963	0	4.045496	3.580923	22.150847
ENSRNA049466316	0	0.85577	1.054169	0	0	0	1.125543	0	2.726305	2.5168	0	0
ENSRNA049466325	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466419	0	0	1.82674	0	0	2.236194	0	0	0	0	2.19307	0
ENSRNA049466442	0	0	0	0	6.921311	11.65173	6.432318	0	3.319546	7.989945	0	0
ENSRNA049466569	0	6.707001	16.061663	7.56967	10.042786	26.444018	0	13.586722	0	8.208165	20.130395	17.594593
ENSRNA049466579	3.748653	13.277584	9.367759	0	10.287114	7.762091	3.122996	0	9.928037	3.962962	39.696917	25.949487
ENSRNA049466589	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466605	0	0	0	3.618642	3.441089	0	0	0	0	0	0	0
ENSRNA049466617	74.997685	83.687673	88.012063	34.565845	53.30241	66.576312	45.883463	93.37854	54.678632	76.691651	76.846533	38.512029
ENSRNA049466632	44.065069	29.15121	16.596819	0	0	0	13.013097	38.162116	26.514993	16.842203	19.603901	22.434656
ENSRNA049466642	87.688972	44.175025	25.261558	36.287728	44.858236	69.880206	15.990765	27.284416	9.954956	35.836529	32.499486	39.395381
ENSRNA049466657	12.822845	12.160556	15.907682	4.953503	25.507645	44.724057	12.658774	41.148703	33.920914	27.338697	32.788448	42.661886
ENSRNA049466664	33.086794	23.520635	10.258413	19.112904	18.122667	16.182505	27.172924	18.705291	15.785643	12.294487	1.769566	3.901995
ENSRNA049466676	15.357051	15.334861	20.253992	14.225456	16.221419	23.210854	13.384198	10.82395	15.547725	20.047575	7.020945	3.858408
ENSRNA049466686	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466693	0	3.07737	2.069834	1.887539	1.750152	0.923689	0	0.835457	2.509982	0.415622	0.418643	0
ENSRNA049466701	12.169309	8.791756	14.323788	1.635071	3.821383	4.211109	6.301776	5.178677	25.610478	0.821829	1.655242	0.960117
ENSRNA049466709	6.084654	5.055313	7.502936	0	0.764277	0.842222	1.260355	0.728534	0	0	0.827621	0
ENSRNA049466789	50.885063	37.597308	45.050461	18.622936	31.002065	11.655624	39.647752	72.339544	36.260784	28.736118	14.143917	4.435574
ENSRNA049466836	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466850	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466858	2.047081	0	7.989676	7.813803	3.276926	14.808602	7.032891	3.191407	0	0	9.537015	2.201508
ENSRNA049466982	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049466998	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467030	0	0	12.205491	6.286603	0	0	0	0	6.739522	0	0	0
ENSRNA049467046	0	0	5.329065	0	0	0	0	0	0	0	0	0
ENSRNA049467153	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467189	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467197	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467206	1.572061	0	1.391564	0	1.561541	0	5.16436	1.480324	22.524739	1.670462	1.678566	1.852685
ENSRNA049467247	0	3.264147	0	0	0	0	0	0	0	0	0	0
ENSRNA049467432	0	0	0	0	0	0	0	0	0	0.415622	0.418643	0
ENSRNA049467439	26.620363	17.473805	24.555064	11.587125	18.206255	20.984528	9.452663	10.715623	29.715409	0	0	5.760701
ENSRNA049467544	0	2.062657	0	0	0	3.725505	0	0	0	0	0	0
ENSRNA049467581	0	0	0	0	2.774613	7.024892	0	9.727103	0	0	6.177506	3.455936
ENSRNA049467592	0	0	0	0	0	0	0	0	0	0	2.609897	3.431711
ENSRNA049467601	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467615	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467624	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467635	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467643	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467653	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467662	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467670	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467682	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467685	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467695	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467703	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467709	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467718	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467721	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467725	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467728	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467735	0	0	0	0	0	2.847142	0	0	0	0	0	0
ENSRNA049467741	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467747	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467752	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467760	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467768	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467775	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467782	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467788	2.615831	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467794	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467799	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467811	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467817	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467825	0	0	0	0	0	2.847142	0	0	0	0	0	0
ENSRNA049467831	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467836	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467843	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467850	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467857	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467867	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049467883	0	7.475464	0	0	2.354855	0	0	0	0	6.296517	1.767667	3.338344
ENSRNA049468229	37.733259	7.475696	49.089945	7.349217	2.354855	0	10.871373	9.763573	112.869152	6.296517	1.767667	3.338344
ENSRNA049468238	1627.506895	1397.280664	2158.439363	1935.955018	223.02189	833.99107	1343.994203	2097.006312	4746.636214	493.663395	990.356326	492.522501
ENSRNA049468304	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468327	0	0	0	0	4.615853	7.767945	0	0	0	0	0	0.792211
ENSRNA049468366	0	0	0	0	0	0	0	0	0	11.7376	11.056452	7.23594
ENSRNA049468514	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468582	8.012777	0	7.073741	14.229451	24.26579	14.337436	20.145629	0	16.930808	18.903522	8.490369	8.106109
ENSRNA049468588	0	0	0	3.5145	0	3.858822	0	0	0	0	0	0
ENSRNA049468606	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468614	0	0	0	0	0	0	0	5.189245	0	0	0	0
ENSRNA049468771	0	0	0	0	0	0	0	0	2.541032	0	0	0
ENSRNA049468782	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468787	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468809	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468829	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468860	0	0	0	3.331303	0	0	0	0	0	0	0	0
ENSRNA049468879	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468892	0	0	0	0	2.445853	0	0	0	0	1.30752	0	4.347062
ENSRNA049468913	23.899179	9.975218	12.760237	15.120236	53.275977	11.249066	3.394805	30.290529	18.496876	16.386832	39.960888	13.208116
ENSRNA049468930	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468936	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468947	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468958	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468969	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468983	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049468999	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469005	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469011	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469023	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469029	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469035	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469040	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469066	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469321	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469519	0	1.014331	0	0	0	0	0	0	0	0	0	0
ENSRNA049469639	0.620278	2.091727	2.587553	0.931095	1.273571	1.073776	0.258969	1.223421	4.513609	1.359656	0.695056	0.769226
ENSRNA049469650	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469667	0	0	0	0	0	0	0.466954	1.087193	0	0	0	0
ENSRNA049469740	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469775	458.147273	485.599368	533.123722	50.755144	73.729479	99.671962	200.273565	165.744408	115.176147	190.290833	233.287593	189.649769
ENSRNA049469802	21.103346	6.090633	7.16395	48.447645	51.436578	49.235268	60.528763	32.058375	54.796777	39.028411	40.878191	59.763657
ENSRNA049469899	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469912	0	4.790076	0	11.015026	0	0	1.041977	4.180162	4.847905	0	0	0
ENSRNA049469919	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049469940	0	0	0	0	0	0	0	0	2.159917	0	0	0
ENSRNA049469950	0	0	0	0	8.874651	23.323598	6.133051	0	63.780931	9.557819	0	0
ENSRNA049470085	0.759944	0.356424	1.398826	1.337426	0.196669	0.464622	0.632858	0.367006	0.916029	0.213369	0.209573	0
ENSRNA049470144	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470236	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470248	0	0	0	18.476241	10.345621	3.885258	0	3.446159	3.315846	8.157258	0	0
ENSRNA049470257	0	0	0	3.655183	45.042938	7.767642	0	20.602527	0	0	3.584739	0
ENSRNA049470263	0	0	2.636809	0	0	0	0	0	0	0	0	0
ENSRNA049470275	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470293	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470306	0	0	0	0	0	0	0	7.521933	0	0	0	0
ENSRNA049470312	3.859574	0	4.56096	2.487656	3.842306	2.80219	4.236205	1.214434	1.231393	1.457646	0	0
ENSRNA049470320	0	0	1.122301	0	0	0	0	0	0	0	0	0
ENSRNA049470333	9.928999	13.440223	19.55872	31.301271	34.375431	26.085427	49.433347	34.736196	97.30602	58.61751	53.558602	30.583871
ENSRNA049470348	0	0	0	0	0	0	0	3.917351	0	0	0	0
ENSRNA049470519	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470528	0	0	0	0	0	4.046029	0	5.336114	0	0	0	0
ENSRNA049470554	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470560	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470569	4.53317	8.56294	6.039548	2.177326	8.996834	0	3.712039	8.516874	0	12.033302	0	2.67623
ENSRNA049470577	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470584	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470615	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470636	0	0	0	0	0	0	0	0	0	0	2.682265	2.94271
ENSRNA049470662	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470674	0	0	0	0.674652	0	0	0	0	0	0	0	0
ENSRNA049470683	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470723	5.628816	8.251865	2.726406	0	0	0	0	0	0	0	0	0
ENSRNA049470774	0	0	0	0	0	0	3.610197	4.872111	3.492251	0	0	0
ENSRNA049470793	19.012957	16.863792	0	18.093212	3.441089	3.879865	0	6.79674	9.950388	0	10.876224	17.450954
ENSRNA049470799	7.156258	0	3.052733	0	4.688939	3.800597	0	6.527771	0	7.66055	3.573327	21.057049
ENSRNA049470807	0	6.598611	15.541078	0	6.840305	0	3.092168	6.665255	0	0	3.593607	0
ENSRNA049470850	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470888	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049470912	0	13.056677	0	0	10.157646	0	0	0	0	3.873959	3.583659	12.737138
ENSRNA049470918	0	0	0	0	3.444674	0	0	3.44474	0	0	0	0
ENSRNA049470931	0.333602	0.481469	0.468313	0.338147	0.49794	0.197596	0	0.415643	0.81032	0.370067	0	0
ENSRNA049470937	0.882991	0	2.458346	0	2.417469	1.700991	6.390388	2.90481	51.977104	5.524733	2.309486	2.559372
ENSRNA049470983	0	9.975218	0	0	0	0	0	10.096843	9.248438	0	3.330074	0
ENSRNA049471008	6.864861	37.244671	17.700025	3.301105	13.027876	14.600309	2.843182	25.222609	9.538669	3.661338	10.414064	32.354609
ENSRNA049471037	1.777838	3.365944	4.615929	0	5.311436	0	5.524735	4.818891	4.824938	1.885532	0	2.096625
ENSRNA049471095	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471119	66.173588	65.857777	41.033651	0	0	0	47.552617	48.322001	34.728415	3.512711	1.769566	0
ENSRNA049471122	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471190	0	0	3.173705	0	3.464841	3.883821	0	3.433754	6.645152	0	0	8.833916
ENSRNA049471198	0	3.432482	3.201855	11.085745	17.242702	31.082064	6.558245	6.892319	3.315846	8.157258	7.134379	0
ENSRNA049471337	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471362	0	0	0	0	0	0	0	0.909958	0	0	0	0
ENSRNA049471370	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471509	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471593	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471617	0	3.264169	6.15539	6.947835	6.771764	1.115355	0	9.846948	16.352617	0	14.334636	8.491425
ENSRNA049471624	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471630	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471642	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471654	6.525653	8.232565	1.934707	1.054948	6.508974	20.221429	5.38218	3.090194	0	6.976708	11.674546	10.295935
ENSRNA049471660	4.416995	8.352718	8.834788	12.844699	25.314914	36.199205	8.193578	16.716885	10.574958	7.079496	22.507752	16.975014
ENSRNA049471669	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471800	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471804	0.268077	0	0.321439	0.270864	0	0	0.075583	0.169454	0.579763	0	0.189558	0
ENSRNA049471872	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471957	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471967	2.135111	0	0	0	7.142694	0	6.99159	2.012609	4.05681	2.267099	2.276209	2.52832
ENSRNA049471974	0	0.434874	1.307888	0	0	0	0	0	0	0	0	1.174845
ENSRNA049471983	0	0	2.104923	0	0	0	0	0	0	0	0	2.673019
ENSRNA049471996	8.81067	9.068042	12.523454	0	0	0	7.913239	9.287348	7.772972	0	0	0
ENSRNA049472005	17.132859	16.272639	30.709391	0.786263	1.595139	4.308356	3.225498	0	0	0.840866	1.694231	1.96751
ENSRNA049472011	0.573813	0.552807	5.062571	1.723898	2.946191	0.995546	0.479204	0	8.07287	0.633754	3.216087	2.497035
ENSRNA049472105	15.146638	3.19198	8.946246	0	0	0	30.385633	44.409271	25.65936	8.930093	29.630669	13.895221
ENSRNA049472175	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472180	7.758384	3.432482	0	0	0	0	3.279123	10.338478	9.947538	0	0	0
ENSRNA049472213	19.556223	23.561606	3.147215	0	0	0	11.657485	38.573438	14.202756	0	0	0
ENSRNA049472224	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472261	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472265	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472269	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472360	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472408	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472415	5.654229	3.9632	2.48384	4.084638	9.687102	9.1919	6.954348	13.191246	10.5614	16.532951	25.237626	10.007564
ENSRNA049472421	5.740286	29.51978	22.697999	22.14969	11.244818	9.346413	23.56246	47.008209	37.507709	42.795041	39.17696	47.495101
ENSRNA049472440	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472461	0	0	0	0	0	0.787514	0	0	0.682514	0	0	0
ENSRNA049472502	0	0	0	0.674652	0	0	0	0	0	0	0	0
ENSRNA049472504	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472513	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472522	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472528	0	0	0	0	1.662746	0	0	0	0	7.063973	0	0.515127
ENSRNA049472536	26.158311	2.473681	13.887564	0	0	2.847142	2.151294	0	2.466285	0	0	0
ENSRNA049472540	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472548	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472552	0	0	0	5.252092	0	2.954647	0	0	0	0	0	0
ENSRNA049472558	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472568	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472574	0	0	0	0	0	0	0	2.012609	0	0	0	0
ENSRNA049472580	0	0	0	0	0	0	0	3.012211	0	0	0	13.772905
ENSRNA049472588	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472591	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472598	0	0	0	0	0	0	0	0	0	4.450288	0	0
ENSRNA049472604	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472608	2.047081	0	7.989676	7.813803	3.276926	14.808602	7.032891	3.191407	0	0	9.537015	2.201508
ENSRNA049472612	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472623	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472626	0.519957	0.992327	0.943925	0	0	0	0	0.504554	0	0.567407	0	0
ENSRNA049472630	0	0	0	6.814813	12.34394	11.193953	0	0	0	0.542957	0	1.542959
ENSRNA049472638	36.818616	38.959399	34.339476	5.19368	5.914244	3.275272	5.345401	1.695309	5.637002	3.818582	1.924443	3.526729
ENSRNA049472641	0	0	0	0.91688	2.860766	2.422234	37.074689	16.384532	33.666126	3.82472	5.056413	2.959501
ENSRNA049472661	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472781	0	0	0	0	0	0	0	0	0	0	0	0.960117
ENSRNA049472786	59.470536	53.771019	14.981621	47.080265	62.99511	18.601242	63.831709	61.112059	51.481788	33.629398	67.099324	37.143289
ENSRNA049472795	0	0	0	5.131876	12.39335	5.794104	4.371557	25.106784	16.91182	5.656595	12.460142	23.062874
ENSRNA049472860	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473008	56.48213	62.089868	34.343133	57.088742	48.532577	83.924084	0	0	0	0	0	0
ENSRNA049473059	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473070	0	0	0	2.72357	4.660013	4.095013	0	0	0	0	0	0
ENSRNA049473076	0	0	0	0	5.1856	25.624278	0	0	0	0	0	0
ENSRNA049473080	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473089	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473105	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473114	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473122	0	0	0	0.150204	0	0	0	0	0	0	0	0
ENSRNA049473127	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473133	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473142	0	0	0	0.150204	0	0	0	0	0	0	0	0
ENSRNA049473148	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473154	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473160	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473166	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473170	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473178	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473182	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473188	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473192	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473198	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473204	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473210	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473220	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473225	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473228	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473236	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473251	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473254	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473271	0	0	0.333891	0.361733	0.741981	0.415828	0.302247	0.356039	0	0	1.618449	0.446712
ENSRNA049473286	0	0	0	1.790707	0	0	0	0	0	0	0	0
ENSRNA049473290	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473297	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473303	0	0	0	0	0	0	0	0	0	0	0	4.274318
ENSRNA049473307	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473322	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473334	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473338	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473346	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473351	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473363	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473372	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473380	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473389	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473440	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473449	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473467	0	3.39946	0	3.77714	10.287621	3.863928	3.354785	6.845848	6.500022	0	0	0
ENSRNA049473524	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473557	0	0	0	0	0	0	0	0	0	0	2.781626	0
ENSRNA049473576	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473589	0	0	0	0	0	0	3.331242	0	0	0	0	0
ENSRNA049473603	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473609	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473622	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473638	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473644	97.537091	121.28785	165.797561	339.336861	15.492526	68.878765	90.348121	230.628996	140.603667	25.792822	107.768431	21.801006
ENSRNA049473651	9.126982	4.333125	6.820851	1.491146	0	0	5.04142	3.699055	11.707647	0.821829	0.827621	0.960117
ENSRNA049473656	15.509903	3.541124	7.029877	0	0	0	7.562131	6.594655	21.138807	0	0	0
ENSRNA049473738	0	0	0	0	0	4.046029	0	5.336114	0	0	0	0
ENSRNA049473748	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473755	0	20.000186	17.54978	93.128953	0	0	183.989337	142.916718	95.671151	100.357103	70.508622	88.05868
ENSRNA049473875	0	0	5.480221	0	0	0	1.683351	0	0	0	0	0
ENSRNA049473886	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473920	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473923	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473965	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049473978	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474065	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474083	0	0	0	0	0	0	0.481058	0.559623	0.558031	0	0	0
ENSRNA049474089	4.98016	0	2.209492	0	0	0	0	0	0	1.327942	0	1.471406
ENSRNA049474094	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474133	4.050413	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474167	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474187	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049474237	0	0	0	0	0	0	0	0	0	0	0	0
